claps,link,post_id,post_time,response,title
47,https://medium.com/@neotheicebird/webcam-based-image-processing-in-ipython-notebooks-47c75a022514?source=tag_archive---------0----------------,47c75a022514,2016-11-01T12:22:04.878Z,1,"Webcam based image processing in iPython notebooksSo you made an image filter and want to quickly test it?, Or you have a Deep learning model that detects human faces and who best to test it on than your face through your webcam?"
6,https://blog.exploratory.io/quick-tip-split-a-sequence-of-numbers-or-letters-into-multiple-columns-87257e88a546?source=tag_archive---------1----------------,87257e88a546,2016-11-01T12:45:10.472Z,1,Quick Tip: Split a sequence of numbers or letters into multiple columnsSeparating a text value into multiple columns by using a separating character is easy. You can use ‘separate’ command from ‘tidyr’ package like below.
22,https://engineering.pandora.com/the-magic-behind-thumbprint-radio-2c5b8103b71?source=tag_archive---------2----------------,2c5b8103b71,2016-11-01T19:36:41.628Z,1,"The Magic Behind Thumbprint RadioDuring our bi-annual hackathon in November of 2014, we were treated to a great idea. The idea, named…"
5,https://medium.com/bahmni-blog/introduction-to-exploratory-data-analysis-of-bahmni-using-r-6c186fd6f010?source=tag_archive---------4----------------,6c186fd6f010,2016-11-01T15:00:21.954Z,2,Introduction to Exploratory Data Analysis of Bahmni using R
1,https://blog.opszero.com/lean-analytics-for-devops-84a505168aed?source=tag_archive---------5----------------,84a505168aed,2016-11-01T02:35:30.219Z,1,Lean Analytics for DevOpsI recently finished a book called Lean Analytics. I highly recommend it for anyone who is working on a startup…
85,https://medium.com/datos-argentina/hay-datos-hay-equipo-e507b2ca7082?source=tag_archive---------1----------------,e507b2ca7082,2016-11-02T15:03:57.271Z,3,"Hay datos ¡Hay equipo!Físicos, programadores, diseñadores, politólogos, economistas. Nos mezclamos…"
18,https://medium.com/kineviz-blog/data-and-virtual-reality-part-i-3d088cee161a?source=tag_archive---------4----------------,3d088cee161a,2016-11-02T18:55:33.378Z,1,Data and Virtual Reality — Part IWhat can VR bring you that typical data visualization doesn’t? A tour of high-dimension…
564,https://m.signalvnoise.com/lets-chart-stop-those-lying-line-charts-60020e299829?source=tag_archive---------0----------------,60020e299829,2016-11-03T14:40:22.723Z,9,Let’s Chart: stop those lying line chartsI want to talk about one of the most basic tasks a data analyst will be asked to do on a regular basis: present some data over a period of time.Let’s look at a chart of monthly sales from Noah’s Imaginary Widget Company. I see…
25,https://blog.agolo.com/an-overview-of-summarization-551499a144d5?source=tag_archive---------2----------------,551499a144d5,2016-11-03T14:11:01.327Z,1,An Overview of SummarizationAn introduction to the types of automated summarization
31,https://perplex.city/license-to-count-75c64fd36644?source=tag_archive---------3----------------,75c64fd36644,2016-11-03T18:57:32.040Z,1,License to CountA famous statistical anecdote from WWII can be applied to police cars in New York…
2,https://medium.com/@differengenera/a-proper-statistical-analysis-of-the-prose-works-of-samuel-beckett-20306f069fda?source=tag_archive---------9----------------,20306f069fda,2016-11-03T13:30:50.571Z,1,"A (Proper) Statistical analysis of the prose works of Samuel BeckettContent warning: If you want to get to the fun parts, the results of an analysis of…"
13,https://medium.com/@omgimanerd/the-wordy-words-of-hillary-clinton-and-donald-trump-59d0bed33b74?source=tag_archive---------0----------------,59d0bed33b74,2016-11-04T01:57:10.433Z,1,The Wordy Words Of Hillary Clinton And Donald Trump
2.6K,https://medium.freecodecamp.org/if-you-want-to-learn-data-science-take-a-few-of-these-statistics-classes-9bbabab098b9?source=tag_archive---------0----------------,9bbabab098b9,2016-11-07T07:27:05.699Z,23,"If you want to learn Data Science, take a few of these statistics classes"
428,https://medium.com/the-downlinq/you-only-look-twice-multi-scale-object-detection-in-satellite-imagery-with-convolutional-neural-38dad1cf7571?source=tag_archive---------1----------------,38dad1cf7571,2016-11-07T17:38:32.568Z,8,You Only Look Twice — Multi-Scale Object Detection in Satellite Imagery With Convolutional Neural Networks (Part I)
32,https://blog.exploratory.io/analyzing-emotions-using-facial-expressions-in-video-with-microsoft-ai-and-r-8f7585dd0780?source=tag_archive---------2----------------,8f7585dd0780,2016-11-07T14:02:45.602Z,4,Analyzing Emotions using Facial Expressions in Video with Microsoft AI and R
86,https://medium.com/@Francesco_AI/big-data-and-risk-management-in-financial-markets-part-i-eed4e245f3db?source=tag_archive---------3----------------,eed4e245f3db,2016-11-07T14:20:10.512Z,1,Big Data & Risk Management in Financial Markets (Part I)How big data helps you managing risks
22,https://medium.com/@periscopedata/periscope-datas-25m-series-b-2557b999f73e?source=tag_archive---------4----------------,2557b999f73e,2016-11-07T21:01:36.680Z,1,Periscope Data’s $25M Series BWe’re excited to announce that we’ve raised $25M in Series B Funding!
18,https://medium.com/@HarlanH/insights-from-a-predictive-model-pipeline-abstraction-c8b47fd406da?source=tag_archive---------5----------------,c8b47fd406da,2016-11-07T14:30:37.049Z,1,"Insights from a Predictive Model Pipeline AbstractionWhen building a complex system, it’s often helpful to think about the design of that system using patterns and abstractions. Architects and software engineers do so frequently, and the experience of implementing predictive modeling…"
33,https://medium.com/@irio/minhas-contribui%C3%A7%C3%B5es-para-a-comunidade-de-data-science-97c48ec485cd?source=tag_archive---------6----------------,97c48ec485cd,2016-11-07T19:06:19.721Z,2,"Minhas contribuições para a comunidade de Data ScienceQuando voltei de Berlin, depois do Data Science Retreat, sabia que queria contribuir com o mercado de Data Science brasileiro.Iniciar a Operação Serenata de Amor junto de outras pessoas com a mesma necessidade…"
8,https://medium.com/@ds_79963/take-5-break-time-for-speculation-12f794879797?source=tag_archive---------10----------------,12f794879797,2016-11-07T23:35:21.205Z,1,"Take 5 — Break time for speculation(Note — this entry was written pre-election. See my dailykos entries under dsko for a few additional updates.)With the election upon us, I’m going to wrap up this series of posts on the Trump and Alfa Bank connection, based on news first…"
